m0_id,category,tier,capability,applicability,na_reason,status,evidence,owner,target_date,notes
M0-IAM-01,IAM,1,User registration with email verification,APP,,PARTIAL,"core/views/main.py - admin creates officers; no formal verify-email step",SA,Phase 1.5,"For internal portal — admin-creation flow. Add welcome email + 'set password' link"
M0-IAM-02,IAM,1,Login with rate-limited password attempts,APP,,PARTIAL,"core/backends.py EmailBackend; no rate limit",SA,Phase 1.5,"Login works but no rate-limit. Add django-axes."
M0-IAM-03,IAM,1,Password reset via email link,APP,,PARTIAL,"Django built-in available; verify wired in urls",SA,Phase 1.5,"Confirm Django auth views routed"
M0-IAM-04,IAM,1,Account lock after N failed attempts,APP,,DONE,"django-axes 8.3.1 — F.1 commit",SA,,"5 attempts → 1h lockout. Admin unlocks via /admin/axes/accessattempt/ or `python manage.py axes_reset_username <email>`"
M0-IAM-05,IAM,2,Configure lockout policy,APP,,DONE,"settings.py AXES_FAILURE_LIMIT AXES_COOLOFF_TIME AXES_LOCKOUT_PARAMETERS",A,,"Editable in pms_portal/settings.py"
M0-IAM-06,IAM,2,MFA (optional / per role),APP,,DEFERRED,,A,Phase 4,"Officer portal not handling sensitive citizen data; defer"
M0-IAM-07,IAM,2,Manual email-verification override (admin),APP,,PARTIAL,"Django admin can edit user; no formal re-verify trigger",SA,Phase 4,"Low priority"
M0-IAM-08,IAM,3,Single sign-on (Keycloak / SSO),APP,,DEFERRED,,A,Phase 5,"NPC enterprise SSO future"
M0-IAM-09,IAM,2,Mobile-OTP login (DLT),NA,Internal officer portal — email-only login,,,,,,
M0-IAM-10,IAM,2,Service-account / API-key auth,APP,,TODO,,SA,Phase 4,"Future Tally write-back may need this"
M0-IAM-11,IAM,1,Session-fixation protection,APP,,DONE,"Django default — regenerates session id on login",,,,
M0-IAM-12,IAM,3,Concurrent-session policy,APP,,TODO,,SA,Phase 4,"Low priority for officer portal"
M0-SEC-01,SEC,1,HTTPS with valid TLS cert,APP,,DONE,"DirectAdmin Let's Encrypt auto-renew (commit 657fae0)",Sys,,
M0-SEC-02,SEC,1,TLS 1.2+ only weak ciphers disabled,APP,,PARTIAL,"DirectAdmin default likely TLS 1.2+; not verified explicitly",SA,Phase 1.5,"Run ssllabs.com check; document"
M0-SEC-03,SEC,1,Six security headers in lockstep,APP,,DONE,"core/middleware.py SecurityHeadersMiddleware — F.8. Six headers: HSTS, X-Frame, X-Content-Type, CSP-Report-Only, Permissions-Policy, Referrer-Policy",SA,,"CSP in Report-Only mode; flip CSP_ENFORCE=True after audit (Phase 2.5)"
M0-SEC-04,SEC,2,CSP phased rollout,APP,,PARTIAL,"Report-Only mode shipped — F.8. Enforce mode pending violation-report audit",SA,Phase 2.5,"Audit reports for 2-4 weeks then set CSP_ENFORCE=True in local_settings.py"
M0-SEC-05,SEC,1,CSRF on all forms,APP,,DONE,"Django default + middleware:67",,,,
M0-SEC-06,SEC,1,XSS protection,APP,,DONE,"Django auto-escape default in templates",,,,
M0-SEC-07,SEC,1,SQL injection prevention (ORM only),APP,,DONE,"CLAUDE.md project rule — ORM only no raw SQL",,,,
M0-SEC-08,SEC,1,File upload validation (allowlist),APP,,PARTIAL,"core/views/proposals.py:76-84 — extension allowlist + size; NO MIME or content scan",SA,Phase 2.5,"Add MIME sniff + ClamAV optional"
